study_id,core_id,sample_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,age,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,site_id
Drexler_et_al_2009,FW,NA,616,618,NA,NA,NA,NA,0.069168212,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,618,620,NA,NA,NA,NA,0.069524801,0.86,0.44699,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,620,622,NA,NA,NA,NA,0.070158097,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,622,624,NA,NA,NA,NA,0.076776608,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,624,626,NA,NA,NA,NA,0.079008739,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,626,628,NA,NA,NA,NA,0.089278344,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,628,630,NA,NA,NA,NA,0.105874599,0.768,0.396298,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,630,632,NA,NA,NA,NA,0.116466873,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,632,634,NA,NA,NA,NA,0.130720937,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,634,636,NA,NA,NA,NA,0.14427816,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,636,638,NA,NA,NA,NA,0.140704759,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,638,640,NA,NA,NA,NA,0.094918022,0.788,0.407318,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,640,642,NA,NA,NA,NA,0.115197864,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,642,644,NA,NA,NA,NA,0.128551173,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,644,646,NA,NA,NA,NA,0.119967459,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,646,648,NA,NA,NA,NA,0.10705606,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,648,650,NA,NA,NA,NA,0.109079363,0.7,0.35883,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D7-26A,650,652,4070,35,Achenes,4561,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,650,652,NA,NA,NA,NA,0.094210165,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,652,654,NA,NA,NA,NA,0.087914159,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,654,656,NA,NA,NA,NA,0.095885941,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,656,658,NA,NA,NA,NA,0.085457349,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,658,660,NA,NA,NA,NA,0.071979232,0.752,0.387482,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,660,662,NA,NA,NA,NA,0.090561945,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,662,664,NA,NA,NA,NA,0.100374904,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,664,666,NA,NA,NA,NA,0.086583335,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,666,668,NA,NA,NA,NA,0.07508255,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,668,670,NA,NA,NA,NA,0.095079576,0.7,0.35883,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,670,672,NA,NA,NA,NA,0.114116691,0.808,0.418338,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D7-36A,670.0000000000001,672.0000000000001,4160,35,Achenes,4704,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,672,674,NA,NA,NA,NA,0.097434326,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,674,676,NA,NA,NA,NA,0.123183338,0.652,0.332382,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,676,678,NA,NA,NA,NA,0.144543359,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,678,680,NA,NA,NA,NA,0.251648722,0.404,0.195734,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,680,682,NA,NA,NA,NA,0.168873495,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D7-41B,680.0000000000001,682,4490,60,Charcoal,5145,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,682,684,NA,NA,NA,NA,0.167046809,0.476,0.235406,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D7-43B,684,686,4510,35,Charcoal,5163,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,684,686,NA,NA,NA,NA,0.218058442,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,702,704,NA,NA,NA,NA,0.200798492,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,704,706,NA,NA,NA,NA,0.144792409,0.468,0.230998,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,706,708,NA,NA,NA,NA,0.151652445,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D8-5B,708,710,4340,40,Achenes,4914,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D8-5E,708,710,4195,30,Plant fragment,4733,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D8-5F,708,710,4145,35,Plant fragment,4689,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,708,710,NA,NA,NA,NA,0.153696658,0.5,0.24863,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,710,712,NA,NA,NA,NA,0.224960603,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,712,714,NA,NA,NA,NA,0.268984274,0.404,0.195734,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,714,716,NA,NA,NA,NA,0.281584419,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,716,718,NA,NA,NA,NA,0.356665239,0.308,0.142838,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,718,720,NA,NA,NA,NA,0.651118359,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,720,722,NA,NA,NA,NA,0.67609547,0.148,0.054678,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,722,724,NA,NA,NA,NA,1.373872919,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,724,726,NA,NA,NA,NA,1.518133859,0.056,0.003986,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,726,728,NA,NA,NA,NA,1.71930646,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,728,730,NA,NA,NA,NA,1.850318848,0.032,0,single set of methods,Franks Wetland
Drexler_et_al_2009,TT,NA,2,4,NA,NA,NA,NA,0.413,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,4,6,NA,NA,NA,NA,0.356,0.26,0.11639,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,6,8,NA,NA,NA,NA,0.446,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,8,10,NA,NA,NA,NA,0.373,0.276,0.125206,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,10,12,NA,NA,NA,NA,0.404,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,12,14,NA,NA,NA,NA,0.354,0.26,0.11639,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,14,16,NA,NA,NA,NA,0.36,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,16,18,NA,NA,NA,NA,0.303,0.292,0.134022,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,18,20,NA,NA,NA,NA,0.382,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,20,22,NA,NA,NA,NA,0.363,0.304,0.140634,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,22,24,NA,NA,NA,NA,0.334,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,24,26,NA,NA,NA,NA,0.439,0.244,0.107574,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,26,28,NA,NA,NA,NA,0.469,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,28,30,NA,NA,NA,NA,0.332,0.308,0.142838,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,30,32,NA,NA,NA,NA,0.346,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,32,34,NA,NA,NA,NA,0.369,0.288,0.131818,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,34,36,NA,NA,NA,NA,0.382,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,36,38,NA,NA,NA,NA,0.333,0.232,0.100962,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,38,40,NA,NA,NA,NA,0.33,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,40,42,NA,NA,NA,NA,0.24,0.308,0.142838,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,42,44,NA,NA,NA,NA,0.258,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,TTC3D1-22A,42.00000000000001,44,60,35,Achenes,97,NA,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,44,46,NA,NA,NA,NA,0.266,0.276,0.125206,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,46,48,NA,NA,NA,NA,0.366,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,48,50,NA,NA,NA,NA,0.225,0.392,0.189122,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,50,52,NA,NA,NA,NA,0.192,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,52,54,NA,NA,NA,NA,0.202,0.436,0.213366,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,54,56,NA,NA,NA,NA,0.167,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,56,58,NA,NA,NA,NA,0.162,0.476,0.235406,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,58,60,NA,NA,NA,NA,0.161,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,60,62,NA,NA,NA,NA,0.147,0.532,0.266262,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,62,64,NA,NA,NA,NA,0.119,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,64,66,NA,NA,NA,NA,0.124,0.564,0.283894,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,66,68,NA,NA,NA,NA,0.127,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,68,70,NA,NA,NA,NA,0.103,0.588,0.297118,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,70,72,NA,NA,NA,NA,0.095,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,72,74,NA,NA,NA,NA,0.09,0.676,0.345606,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,74,76,NA,NA,NA,NA,0.096,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,76,78,NA,NA,NA,NA,0.086,0.644,0.327974,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,78,80,NA,NA,NA,NA,0.086,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,80,82,NA,NA,NA,NA,0.087,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,82,84,NA,NA,NA,NA,0.075,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,84,86,NA,NA,NA,NA,0.087,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,86,88,NA,NA,NA,NA,0.1,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,88,90,NA,NA,NA,NA,0.12,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,90,92,NA,NA,NA,NA,0.096,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,92,94,NA,NA,NA,NA,0.119,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,100,102,NA,NA,NA,NA,0.131,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,102,104,NA,NA,NA,NA,0.119,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,104,106,NA,NA,NA,NA,0.135,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,106,108,NA,NA,NA,NA,0.132,0.52,0.25965,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,108,110,NA,NA,NA,NA,0.139,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,110,112,NA,NA,NA,NA,0.149,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,112,114,NA,NA,NA,NA,0.138,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,114,116,NA,NA,NA,NA,0.124,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,116,118,NA,NA,NA,NA,0.111,0.568,0.286098,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,118,120,NA,NA,NA,NA,0.096,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,120,122,NA,NA,NA,NA,0.115,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,122,124,NA,NA,NA,NA,0.125,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,124,126,NA,NA,NA,NA,0.116,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,126,128,NA,NA,NA,NA,0.125,0.596,0.301526,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,128,130,NA,NA,NA,NA,0.1,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,130,132,NA,NA,NA,NA,0.083,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,132,134,NA,NA,NA,NA,0.111,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,134,136,NA,NA,NA,NA,0.123,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,136,138,NA,NA,NA,NA,0.145,0.552,0.277282,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,138,140,NA,NA,NA,NA,0.156,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,140,142,NA,NA,NA,NA,0.152,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,142,144,NA,NA,NA,NA,0.157,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,144,146,NA,NA,NA,NA,0.154,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,146,148,NA,NA,NA,NA,0.161,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,148,150,NA,NA,NA,NA,0.164,0.456,0.224386,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,150,152,NA,NA,NA,NA,0.139,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,152,154,NA,NA,NA,NA,0.125,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,154,156,NA,NA,NA,NA,0.125,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,156,158,NA,NA,NA,NA,0.123,0.5,0.24863,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,158,160,NA,NA,NA,NA,0.111,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,160,162,NA,NA,NA,NA,0.125,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,162,164,NA,NA,NA,NA,0.131,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,164,166,NA,NA,NA,NA,0.111,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,166,168,NA,NA,NA,NA,0.116,0.532,0.266262,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,168,170,NA,NA,NA,NA,0.114,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,170,172,NA,NA,NA,NA,0.105,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,172,174,NA,NA,NA,NA,0.107,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,174,176,NA,NA,NA,NA,0.106,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,176,178,NA,NA,NA,NA,0.102,0.564,0.283894,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,178,180,NA,NA,NA,NA,0.113,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,180,182,NA,NA,NA,NA,0.127,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,182,184,NA,NA,NA,NA,0.126,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,184,186,NA,NA,NA,NA,0.139,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,TTC3D2-45A,186,188,1265,35,Achenes,1214,NA,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,186,188,NA,NA,NA,NA,0.133,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,188,190,NA,NA,NA,NA,0.143,0.46,0.22659,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,190,192,NA,NA,NA,NA,0.145,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,192,194,NA,NA,NA,NA,0.178,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,194,196,NA,NA,NA,NA,0.133,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,202,204,NA,NA,NA,NA,0.148,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,204,206,NA,NA,NA,NA,0.132,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,206,208,NA,NA,NA,NA,0.11,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,208,210,NA,NA,NA,NA,0.112,0.492,0.244222,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,210,212,NA,NA,NA,NA,0.137,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,212,214,NA,NA,NA,NA,0.123,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,214,216,NA,NA,NA,NA,0.149,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,216,218,NA,NA,NA,NA,0.161,0.444,0.217774,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,218,220,NA,NA,NA,NA,0.112,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,220,222,NA,NA,NA,NA,0.122,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,222,224,NA,NA,NA,NA,0.105,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,224,226,NA,NA,NA,NA,0.116,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,226,228,NA,NA,NA,NA,0.1,0.596,0.301526,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,228,230,NA,NA,NA,NA,0.101,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,230,232,NA,NA,NA,NA,0.101,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,232,234,NA,NA,NA,NA,0.121,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,234,236,NA,NA,NA,NA,0.097,0.616,0.312546,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,236,238,NA,NA,NA,NA,0.12,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,238,240,NA,NA,NA,NA,0.135,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,240,242,NA,NA,NA,NA,0.186,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,242,244,NA,NA,NA,NA,0.142,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,244,246,NA,NA,NA,NA,0.176,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,246,248,NA,NA,NA,NA,0.178,0.388,0.186918,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,248,250,NA,NA,NA,NA,0.186,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,250,252,NA,NA,NA,NA,0.2,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,252,254,NA,NA,NA,NA,0.18,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,254,256,NA,NA,NA,NA,0.198,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,256,258,NA,NA,NA,NA,0.21,0.376,0.180306,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,258,260,NA,NA,NA,NA,0.215,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,260,262,NA,NA,NA,NA,0.193,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,262,264,NA,NA,NA,NA,0.132102788,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,264,266,NA,NA,NA,NA,0.139605508,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,266,268,NA,NA,NA,NA,0.15697652,0.52,0.25965,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,268,270,NA,NA,NA,NA,0.177005007,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,270,272,NA,NA,NA,NA,0.187159255,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,272,274,NA,NA,NA,NA,0.200177768,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,274,276,NA,NA,NA,NA,0.222908301,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,276,278,NA,NA,NA,NA,0.259832502,0.376,0.180306,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,278,280,NA,NA,NA,NA,0.273577701,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,280,282,NA,NA,NA,NA,0.281897164,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,282,284,NA,NA,NA,NA,0.3251222,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,284,286,NA,NA,NA,NA,0.300010048,0.244,0.107574,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,286,288,NA,NA,NA,NA,0.320816722,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,288,290,NA,NA,NA,NA,0.299284133,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,290,292,NA,NA,NA,NA,0.290184328,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,302,304,NA,NA,NA,NA,0.161692949,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,304,306,NA,NA,NA,NA,0.22113175,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,306,308,NA,NA,NA,NA,0.242016564,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,308,310,NA,NA,NA,NA,0.271000299,0.288,0.131818,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,310,312,NA,NA,NA,NA,0.285540223,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,312,314,NA,NA,NA,NA,0.288850737,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,314,316,NA,NA,NA,NA,0.267224622,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,316,318,NA,NA,NA,NA,0.228245461,0.364,0.173694,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,318,320,NA,NA,NA,NA,0.250514815,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,320,322,NA,NA,NA,NA,0.216339684,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,322,324,NA,NA,NA,NA,0.224261555,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,324,326,NA,NA,NA,NA,0.253573949,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,326,328,NA,NA,NA,NA,0.297812659,0.272,0.123002,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,328,330,NA,NA,NA,NA,0.246931306,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,330,332,NA,NA,NA,NA,0.274723135,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,332,334,NA,NA,NA,NA,0.301309245,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,334,336,NA,NA,NA,NA,0.176758444,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,336,338,NA,NA,NA,NA,0.357917764,0.264,0.118594,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,338,340,NA,NA,NA,NA,0.331452226,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,340,342,NA,NA,NA,NA,0.406689108,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,342,344,NA,NA,NA,NA,0.43056235,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,344,346,NA,NA,NA,NA,0.448842428,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,346,348,NA,NA,NA,NA,0.346890998,0.264,0.118594,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,348,350,NA,NA,NA,NA,0.274533002,NA,NA,single set of methods,Time of Mandeval Tip
