"[ID, identification; cm, centimeter; N, number of times a single sample was run;  _m, micron; %, percent; _, phi particle size scale, mm; millimeters; g, gram; QA, quality assurance; QC, quality control;  T, QA guidelines were not met by the lab, if no concentration is reported, then the QC problem was judged to be severve enough to invalidate the results, if a concentration is reported it is to be used with discretion; D, there was insufficient material for analysis; 0, passed QA/QC inspection; nem, not enough material]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE ID,DEPTH (cm),"SEDIMENT TEXTURE (Folk, 1954)",NUMBER OF RUNS (N),"MEAN GRAIN SIZE  (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SORTING (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SKEWNESS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","KURTOSIS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","MEAN GRAIN SIZE  (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SORTING (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SKEWNESS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","KURTOSIS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","MEAN GRAIN SIZE (Folk and Ward, Descriptive)","SORTING (Folk and Ward, Descriptive)","SKEWNESS (Folk and Ward, Descriptive)","KURTOSIS (Folk and Ward, Descriptive)","D10  (µm)",STANDARD DEVIATION D10 (µm),"D50  (µm)",STANDARD DEVIATION D50  (µm),"D90  (µm)",STANDARD DEVIATION D90  (µm),% SAND,STANDARD DEVIATION (%),% MUD,STANDARD DEVIATION (%),% VERY COARSE SAND,% COARSE SAND,% MEDIUM SAND,% FINE SAND,% VERY FINE SAND,% VERY COARSE SILT,% COARSE SILT,% MEDIUM SILT,% FINE SILT,% VERY FINE SILT,% CLAY,Coarse Flag > 1mm (g),QA/QC Flag,
15BIM09-DA294G,Surface Sample,Muddy Sand,N=8,53.21,1.76,6.864,0.135,-0.685,0.003,0.822,0.005,4.233,0.048,2.779,0.028,0.685,0.003,0.822,0.005,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.90,0.03,139.61,5.86,301.12,15.90,63.3%,0.5%,36.7%,0.5%,0.1%,1.9%,15.8%,36.0%,9.4%,4.6%,4.8%,5.6%,6.2%,5.3%,10.2%,0.000,0,
15BIM09-DA295G,Surface Sample,Muddy Sand,N=8,124.25,2.24,2.779,0.043,-0.450,0.012,2.156,0.006,3.009,0.026,1.474,0.022,0.450,0.012,2.156,0.006,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,20.18,1.49,143.39,0.86,274.46,1.84,82.6%,0.5%,17.4%,0.5%,0.0%,1.5%,12.0%,45.7%,23.4%,5.6%,2.7%,2.3%,2.0%,1.7%,3.0%,0.000,0,
15BIM09-DA296G,Surface Sample,Muddy Sand,N=8,209.10,12.12,3.441,0.128,-0.420,0.043,1.342,0.016,2.260,0.084,1.782,0.054,0.420,0.043,1.342,0.016,Fine Sand,Poorly Sorted,Very Fine Skewed,Leptokurtic,33.06,4.06,254.83,22.56,616.75,4.20,84.9%,1.0%,15.1%,1.0%,0.5%,18.9%,31.2%,20.1%,14.1%,5.3%,2.4%,1.9%,1.5%,1.4%,2.6%,0.087,0,
15BIM09-DA297G,Surface Sample,Sandy Mud,N=8,14.73,1.73,7.627,0.203,-0.009,0.056,0.625,0.002,6.095,0.170,2.931,0.038,0.009,0.056,0.625,0.002,Medium Silt,Very Poorly Sorted,Symmetrical,Very Platykurtic,1.02,0.03,14.65,3.04,184.33,16.91,34.1%,3.4%,65.9%,3.4%,0.0%,0.7%,3.2%,18.2%,11.9%,6.9%,7.9%,9.2%,10.7%,10.3%,20.9%,0.000,0,
15BIM09-DA298G,Surface Sample,Sandy Mud/Muddy Sand,N=8,34.99,6.14,7.057,0.344,-0.589,0.087,0.729,0.057,4.860,0.256,2.817,0.070,0.589,0.087,0.729,0.057,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.43,0.18,85.06,22.99,227.43,8.32,55.1%,5.2%,44.9%,5.2%,0.0%,0.8%,6.4%,32.2%,15.7%,5.9%,5.4%,6.1%,7.1%,6.8%,13.6%,0.000,0,
15BIM09-DA299G,Surface Sample,Muddy Sand,N=8,102.80,14.79,4.195,0.424,-0.575,0.036,2.511,0.093,3.297,0.209,2.061,0.146,0.575,0.036,2.511,0.093,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.79,1.07,154.48,4.32,330.57,7.26,80.0%,1.7%,20.0%,1.7%,0.0%,2.1%,18.2%,43.3%,16.4%,3.1%,2.5%,2.9%,3.2%,2.9%,5.5%,0.000,0,
15BIM09-DA300G,Surface Sample,Sand,N=8,388.63,3.19,1.659,0.002,-0.154,0.007,1.001,0.008,1.364,0.012,0.730,0.002,0.154,0.007,1.001,0.008,Medium Sand,Moderately Sorted,Fine Skewed,Mesokurtic,191.21,0.90,407.43,4.09,709.13,5.08,98.6%,0.1%,1.4%,0.1%,1.1%,31.7%,47.4%,17.1%,1.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.5%,0.000,0,
15BIM09-DA301G,Surface Sample,Sand,N=8,275.86,0.84,1.610,0.006,0.094,0.003,1.027,0.005,1.858,0.004,0.687,0.005,-0.094,0.003,1.027,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,154.92,0.25,267.83,0.46,526.70,5.18,98.6%,0.0%,1.4%,0.0%,0.3%,11.5%,44.3%,39.7%,2.8%,0.3%,0.1%,0.1%,0.1%,0.2%,0.6%,0.000,0,
15BIM09-DA302GfrDA301,Surface Sample,Sand,N=8,269.38,2.82,1.601,0.008,0.089,0.006,1.036,0.005,1.892,0.015,0.679,0.008,-0.089,0.006,1.036,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,151.89,1.09,262.25,2.30,509.96,9.03,98.5%,0.0%,1.5%,0.0%,0.4%,10.3%,43.6%,41.2%,3.1%,0.3%,0.1%,0.1%,0.1%,0.2%,0.6%,0.000,0,
15BIM09-DA303G,Surface Sample,Sand,N=8,202.39,4.46,2.085,0.013,-0.022,0.009,1.249,0.044,2.305,0.032,1.060,0.009,0.022,0.009,1.249,0.044,Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic,82.43,2.01,193.24,4.15,485.99,10.58,93.2%,0.3%,6.8%,0.3%,0.2%,9.0%,25.7%,42.6%,15.8%,2.4%,0.8%,0.7%,0.7%,0.7%,1.4%,0.000,0,
15BIM09-DA304G,Surface Sample,Sandy Mud/Muddy Sand,N=8,42.72,4.27,6.257,0.150,-0.321,0.035,0.961,0.015,4.556,0.145,2.645,0.035,0.321,0.035,0.961,0.015,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.55,0.23,62.58,7.94,314.02,7.01,49.8%,3.1%,50.2%,3.1%,0.2%,3.3%,10.8%,18.1%,17.3%,14.0%,9.1%,7.4%,6.4%,5.0%,8.3%,0.000,0,
15BIM09-DA305G,Surface Sample,Sand,N=8,274.99,12.92,2.276,0.098,-0.411,0.026,1.588,0.021,1.864,0.068,1.185,0.062,0.411,0.026,1.588,0.021,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,70.17,7.71,316.07,7.56,578.10,12.67,90.8%,0.8%,9.2%,0.8%,0.1%,16.9%,47.7%,19.8%,6.4%,4.0%,1.4%,0.9%,0.9%,0.7%,1.4%,0.000,0,
15BIM09-DA306G,Surface Sample,Muddy Sand,N=8,175.14,1.77,4.059,0.030,-0.534,0.006,1.280,0.004,2.513,0.015,2.021,0.011,0.534,0.006,1.280,0.004,Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,15.87,0.46,252.72,3.46,572.00,6.36,79.1%,0.2%,20.9%,0.2%,0.9%,14.3%,35.2%,15.6%,13.1%,7.5%,3.5%,2.6%,2.2%,1.8%,3.3%,0.000,0,
15BIM09-DA307G,Surface Sample,Muddy Sand,N=7,63.23,11.91,4.174,0.523,-0.734,0.024,2.171,0.690,4.008,0.268,2.050,0.185,0.734,0.024,2.171,0.690,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,4.06,1.26,116.79,4.72,188.32,5.96,74.9%,3.6%,25.1%,3.6%,0.0%,0.0%,1.2%,42.9%,30.8%,4.2%,3.2%,3.5%,3.8%,3.5%,6.8%,0.000,0,
15BIM09-DA308G,Surface Sample,Muddy Sand,N=8,61.12,3.23,4.549,0.146,-0.739,0.007,2.121,0.303,4.034,0.076,2.185,0.046,0.739,0.007,2.121,0.303,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.47,0.28,124.62,1.92,205.92,3.75,74.8%,1.1%,25.2%,1.1%,0.0%,0.9%,3.1%,45.7%,25.1%,3.7%,3.1%,3.7%,4.0%,3.7%,7.0%,0.000,0,
15BIM09-DA309G,Surface Sample,Sand,N=8,176.26,2.48,2.338,0.089,-0.344,0.016,2.902,0.109,2.504,0.020,1.224,0.055,0.344,0.016,2.902,0.109,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,77.23,10.25,179.74,1.66,315.73,1.67,91.0%,0.8%,9.0%,0.8%,0.0%,1.7%,19.9%,57.3%,12.1%,1.3%,1.0%,1.2%,1.4%,1.3%,2.8%,0.000,0,
15BIM09-DA310G,Surface Sample,Sand,N=8,483.54,2.17,1.473,0.004,-0.096,0.004,1.099,0.003,1.048,0.006,0.559,0.004,0.096,0.004,1.099,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,288.98,0.55,489.16,1.93,767.98,7.17,99.1%,0.0%,0.9%,0.0%,1.5%,46.1%,46.0%,5.1%,0.4%,0.2%,0.1%,0.1%,0.1%,0.1%,0.3%,0.030,0,
15BIM09-DA311G,Surface Sample,Sand,N=8,344.32,5.24,1.646,0.005,-0.073,0.002,0.972,0.004,1.538,0.022,0.719,0.005,0.073,0.002,0.972,0.004,Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic,176.80,3.47,351.43,5.17,638.40,9.38,98.9%,0.0%,1.1%,0.0%,0.7%,22.6%,50.6%,23.2%,1.8%,0.2%,0.1%,0.1%,0.1%,0.1%,0.4%,0.016,0,
15BIM09-DA312G,Surface Sample,Sand,N=8,186.58,2.73,1.867,0.004,0.063,0.007,1.212,0.021,2.422,0.021,0.901,0.003,-0.063,0.007,1.212,0.021,Fine Sand,Moderately Sorted,Symmetrical,Leptokurtic,88.15,1.16,177.74,2.08,427.58,7.21,94.7%,0.2%,5.3%,0.2%,0.0%,6.3%,21.5%,48.0%,18.9%,2.0%,0.6%,0.5%,0.5%,0.5%,1.2%,0.000,0,
15BIM09-DA313GfrDA312,Surface Sample,Sand,N=8,167.24,0.43,1.819,0.018,-0.007,0.009,1.368,0.015,2.580,0.004,0.863,0.015,0.007,0.009,1.368,0.015,Fine Sand,Moderately Sorted,Symmetrical,Leptokurtic,81.56,0.43,165.67,0.17,357.39,7.63,93.8%,0.1%,6.2%,0.1%,0.3%,4.1%,16.7%,50.9%,21.7%,2.6%,0.7%,0.5%,0.6%,0.6%,1.3%,0.000,0,
15BIM09-DA314G,Surface Sample,Muddy Sand,N=8,174.65,6.22,3.003,0.011,-0.252,0.014,1.396,0.006,2.518,0.051,1.587,0.005,0.252,0.014,1.396,0.006,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,41.98,1.99,185.57,7.55,519.65,9.74,85.2%,0.6%,14.8%,0.6%,0.4%,10.7%,25.7%,30.0%,18.4%,6.5%,2.2%,1.6%,1.3%,1.2%,2.0%,0.000,0,
15BIM09-DA315G,Surface Sample,Sandy Mud,N=8,18.16,0.31,4.768,0.047,-0.331,0.008,0.967,0.012,5.783,0.025,2.253,0.014,0.331,0.008,0.967,0.012,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.63,0.03,26.32,0.35,99.32,3.28,20.9%,0.6%,79.1%,0.6%,0.0%,0.7%,0.8%,5.2%,14.1%,24.1%,16.8%,10.7%,8.8%,7.0%,11.7%,0.000,0,
15BIM09-DA316G,Surface Sample,Muddy Sand,N=8,96.01,1.79,4.581,0.141,-0.232,0.005,1.279,0.029,3.381,0.027,2.195,0.045,0.232,0.005,1.279,0.029,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,8.81,0.62,103.97,1.72,456.76,10.85,66.9%,0.9%,33.1%,0.9%,0.4%,7.4%,17.8%,18.2%,23.2%,13.7%,6.4%,3.4%,2.8%,2.4%,4.4%,0.013,0,
15BIM09-DA317G,Surface Sample,Muddy Sand,N=8,27.72,3.56,6.589,0.139,-0.602,0.073,0.711,0.027,5.185,0.186,2.720,0.031,0.602,0.073,0.711,0.027,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.27,0.09,66.76,14.79,169.09,7.09,51.8%,3.6%,48.2%,3.6%,0.0%,0.4%,1.5%,23.4%,26.5%,6.3%,5.6%,6.9%,7.6%,6.8%,15.0%,0.000,0,
15BIM09-DA318G,Surface Sample,Muddy Sand,N=8,36.82,3.31,6.364,0.252,-0.667,0.008,0.800,0.048,4.769,0.130,2.669,0.057,0.667,0.008,0.800,0.048,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.55,0.16,91.72,5.80,200.21,5.85,58.5%,2.5%,41.5%,2.5%,0.0%,0.6%,3.9%,30.2%,23.8%,5.8%,5.2%,5.9%,6.5%,5.7%,12.3%,0.000,0,
15BIM09-DA319G,Surface Sample,Sand,N=8,314.07,0.32,1.461,0.002,-0.062,0.004,1.079,0.004,1.671,0.001,0.547,0.002,0.062,0.004,1.079,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,190.99,0.23,316.49,0.32,500.32,1.53,98.3%,0.0%,1.7%,0.0%,0.0%,10.0%,63.8%,23.3%,1.3%,0.3%,0.2%,0.2%,0.2%,0.2%,0.6%,0.000,0,
15BIM09-DA320G,Surface Sample,Sand,N=8,412.68,1.44,1.472,0.003,-0.059,0.004,1.031,0.003,1.277,0.005,0.558,0.003,0.059,0.004,1.031,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,247.84,0.37,416.05,1.23,666.32,4.70,99.2%,0.0%,0.8%,0.0%,0.3%,30.9%,58.4%,9.1%,0.5%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.000,0,
15BIM09-DA321G,Surface Sample,Sand,N=8,292.86,7.36,1.663,0.004,0.052,0.018,0.929,0.010,1.772,0.036,0.734,0.004,-0.052,0.018,0.929,0.010,Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic,154.86,2.50,286.96,8.78,574.57,13.37,98.8%,0.1%,1.2%,0.1%,0.2%,15.7%,44.2%,35.8%,2.9%,0.2%,0.1%,0.1%,0.1%,0.2%,0.5%,0.000,0,
15BIM09-DA322G,Surface Sample,Sand,N=8,343.53,1.23,1.574,0.001,-0.088,0.002,1.114,0.007,1.542,0.005,0.655,0.001,0.088,0.002,1.114,0.007,Medium Sand,Moderately Well Sorted,Symmetrical,Leptokurtic,188.67,0.62,347.42,1.32,593.42,2.22,98.0%,0.1%,2.0%,0.1%,0.2%,19.0%,58.0%,18.8%,1.9%,0.5%,0.3%,0.2%,0.2%,0.2%,0.6%,0.000,0,
15BIM09-DA323G,Surface Sample,Sand,N=8,353.33,7.31,1.660,0.004,0.024,0.004,1.004,0.007,1.501,0.030,0.731,0.003,-0.024,0.004,1.004,0.007,Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic,186.17,3.27,347.93,7.02,682.81,16.31,98.9%,0.0%,1.1%,0.0%,1.4%,23.2%,50.4%,21.9%,1.9%,0.2%,0.1%,0.1%,0.1%,0.2%,0.4%,0.029,0,
15BIM09-DA324GfrDA323,Surface Sample,Sand,N=8,321.51,2.05,1.563,0.005,0.045,0.003,1.059,0.005,1.637,0.009,0.644,0.004,-0.045,0.003,1.059,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,185.07,0.69,316.96,2.01,579.61,6.61,98.9%,0.0%,1.1%,0.0%,0.5%,15.6%,55.4%,25.8%,1.6%,0.2%,0.1%,0.1%,0.1%,0.2%,0.4%,0.020,0,
15BIM09-DA325G,Surface Sample,Sand,N=8,391.79,2.29,1.569,0.011,-0.093,0.005,1.040,0.004,1.352,0.008,0.650,0.010,0.093,0.005,1.040,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,213.09,0.61,398.99,2.35,676.04,10.10,98.6%,0.0%,1.4%,0.0%,0.6%,29.2%,54.0%,13.8%,1.0%,0.2%,0.2%,0.2%,0.2%,0.2%,0.5%,0.000,0,
15BIM09-DA326G,Surface Sample,Sand,N=8,390.21,0.71,1.455,0.002,0.010,0.007,1.060,0.008,1.358,0.003,0.541,0.002,-0.010,0.007,1.060,0.008,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,243.55,0.50,388.07,0.42,631.72,4.57,98.5%,0.2%,1.5%,0.2%,0.6%,24.2%,64.0%,9.1%,0.6%,0.2%,0.2%,0.2%,0.2%,0.2%,0.5%,0.000,0,
15BIM09-DA327G,Surface Sample,Sandy Mud,N=9,9.04,0.48,5.323,0.188,-0.044,0.003,0.827,0.012,6.791,0.076,2.411,0.051,0.044,0.003,0.827,0.012,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.00,0.01,9.82,0.52,81.94,7.53,13.6%,1.4%,86.4%,1.4%,0.0%,0.0%,0.0%,4.5%,9.0%,12.1%,14.6%,14.4%,13.6%,10.9%,20.8%,0.000,0,
15BIM09-DA328G,Surface Sample,Mud,N=8,7.32,0.12,4.882,0.044,-0.050,0.007,0.823,0.009,7.094,0.024,2.287,0.013,0.050,0.007,0.823,0.009,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.93,0.01,8.08,0.12,54.31,1.84,8.4%,0.4%,91.6%,0.4%,0.0%,0.0%,0.3%,2.3%,5.7%,11.6%,15.3%,15.5%,14.2%,11.4%,23.6%,0.000,0,
15BIM09-DA329G,Surface Sample,Mud,N=8,5.94,0.09,4.467,0.057,-0.023,0.009,0.802,0.012,7.396,0.022,2.159,0.018,0.023,0.009,0.802,0.012,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.87,0.00,6.35,0.13,40.82,0.80,5.2%,0.4%,94.8%,0.4%,0.0%,0.0%,0.2%,1.2%,3.8%,9.4%,14.3%,16.2%,15.3%,12.7%,26.9%,0.000,0,
15BIM09-DA330G,Surface Sample,Sand,N=8,438.26,0.74,1.384,0.004,-0.013,0.003,0.997,0.003,1.190,0.002,0.469,0.004,0.013,0.003,0.997,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,287.83,1.16,438.47,0.67,664.05,3.11,99.3%,0.0%,0.7%,0.0%,0.2%,34.2%,60.9%,3.7%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.000,0,
15BIM09-DA331G,Surface Sample,Sand,N=8,443.07,0.36,1.390,0.004,0.006,0.003,1.019,0.004,1.174,0.001,0.475,0.004,-0.006,0.003,1.019,0.004,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,291.57,0.86,441.52,0.35,676.94,2.70,99.3%,0.0%,0.7%,0.0%,0.5%,34.9%,60.1%,3.5%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.2%,0.000,0,
15BIM09-DA332G,Surface Sample,Sand,N=8,452.70,1.16,1.457,0.006,-0.002,0.006,1.009,0.004,1.143,0.004,0.543,0.006,0.002,0.006,1.009,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,279.28,2.05,451.36,0.93,733.58,2.27,99.2%,0.1%,0.8%,0.1%,1.4%,37.9%,54.7%,4.9%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.000,0,
15BIM09-DA333G,Surface Sample,Sand,N=8,438.56,1.31,1.448,0.004,-0.018,0.005,1.013,0.003,1.189,0.004,0.534,0.004,0.018,0.005,1.013,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,272.05,1.17,438.89,1.45,702.42,3.21,99.3%,0.0%,0.7%,0.0%,0.7%,35.5%,56.9%,5.9%,0.3%,0.1%,0.1%,0.1%,0.0%,0.1%,0.2%,0.000,0,
15BIM09-DA334GfrDA333,Surface Sample,Sand,N=8,416.07,0.93,1.430,0.004,-0.027,0.002,1.019,0.004,1.265,0.003,0.516,0.004,0.027,0.002,1.019,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,260.73,1.51,417.11,0.89,654.17,2.12,99.3%,0.0%,0.7%,0.0%,0.3%,30.2%,61.3%,7.2%,0.4%,0.1%,0.1%,0.1%,0.0%,0.1%,0.2%,0.076,0,
15BIM09-DA335G,Surface Sample,Sand,N=8,323.80,0.28,1.556,0.014,0.008,0.003,1.049,0.007,1.627,0.001,0.638,0.013,-0.008,0.003,1.049,0.007,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,185.20,1.69,321.63,0.50,572.15,7.81,98.3%,0.2%,1.7%,0.2%,0.2%,15.9%,56.3%,24.6%,1.3%,0.3%,0.2%,0.2%,0.2%,0.2%,0.6%,0.000,0,
15BIM09-DA336G,Surface Sample,Sand,N=8,351.36,3.84,1.728,0.005,-0.087,0.006,0.964,0.004,1.509,0.016,0.789,0.004,0.087,0.006,0.964,0.004,Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic,169.76,1.65,358.03,4.65,681.77,5.74,97.8%,0.1%,2.2%,0.1%,0.9%,26.3%,45.7%,22.5%,2.4%,0.5%,0.3%,0.3%,0.3%,0.3%,0.7%,0.000,0,
15BIM09-DA337G,Surface Sample,Muddy Sand,N=8,115.66,29.26,3.966,0.492,-0.344,0.010,1.491,0.045,3.160,0.373,1.977,0.180,0.344,0.010,1.491,0.045,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,13.37,6.24,136.07,29.50,418.98,30.83,74.13%,5.4%,25.9%,5.4%,0.0%,6.0%,20.1%,26.4%,21.6%,10.3%,3.9%,3.1%,2.5%,2.1%,3.9%,0.000,T,
15BIM09-DA338G,Surface Sample,Sandy Mud/Muddy Sand,N=8,39.92,6.33,6.531,0.176,-0.290,0.020,0.919,0.013,4.665,0.230,2.707,0.039,0.290,0.020,0.919,0.013,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,2.31,0.20,57.06,9.87,326.86,51.38,47.9%,3.4%,52.1%,3.4%,0.2%,3.4%,11.1%,16.1%,17.2%,12.3%,10.0%,8.4%,7.1%,5.4%,8.9%,0.000,0,
15BIM09-DA339G,Surface Sample,Muddy Sand,N=8,186.83,0.83,2.467,0.065,-0.177,0.013,1.264,0.026,2.420,0.006,1.302,0.038,0.177,0.013,1.264,0.026,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,59.30,2.18,190.51,1.59,488.12,9.74,89.4%,0.4%,10.6%,0.4%,0.1%,9.2%,27.8%,32.6%,19.7%,4.5%,1.6%,1.0%,0.9%,0.9%,1.6%,0.000,0,
15BIM09-DA340G,Surface Sample,Sand,N=8,291.87,0.76,1.560,0.002,0.031,0.004,1.044,0.004,1.777,0.004,0.642,0.002,-0.031,0.004,1.044,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,167.66,0.57,288.50,0.59,520.86,2.93,98.1%,0.0%,1.9%,0.0%,0.1%,11.6%,51.5%,33.1%,1.8%,0.3%,0.2%,0.2%,0.2%,0.3%,0.6%,0.000,0,
15BIM09-DA341G,Surface Sample,Sand,N=8,452.49,1.06,1.425,0.002,-0.006,0.007,1.003,0.006,1.144,0.003,0.511,0.002,0.006,0.007,1.003,0.006,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,286.41,0.55,451.93,1.06,712.87,3.38,99.1%,0.0%,0.9%,0.0%,0.8%,38.1%,56.0%,4.0%,0.3%,0.1%,0.1%,0.2%,0.1%,0.1%,0.2%,0.000,0,
15BIM09-DA342G,Surface Sample,Sand,N=8,383.69,1.49,1.517,0.002,-0.108,0.003,1.119,0.003,1.382,0.006,0.601,0.002,0.108,0.003,1.119,0.003,Medium Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,218.78,0.98,390.12,1.63,629.07,2.71,98.8%,0.0%,1.2%,0.0%,0.3%,25.3%,59.5%,12.7%,1.0%,0.2%,0.1%,0.2%,0.2%,0.2%,0.4%,0.000,0,
15BIM09-DA343G,Surface Sample,Sand,N=8,410.75,3.31,1.921,0.011,-0.363,0.004,0.902,0.017,1.284,0.012,0.942,0.008,0.363,0.004,0.902,0.017,Medium Sand,Moderately Sorted,Very Fine Skewed,Mesokurtic,156.62,1.84,487.90,2.90,833.00,5.25,97.3%,0.1%,2.7%,0.1%,3.2%,44.9%,28.0%,18.7%,2.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.8%,0.486,0,
15BIM09-DA344G,Surface Sample,Sand,N=8,421.93,1.40,1.503,0.005,0.056,0.006,0.988,0.006,1.245,0.005,0.588,0.004,-0.056,0.006,0.988,0.006,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,253.64,0.98,415.79,1.17,726.29,4.78,99.3%,0.0%,0.7%,0.0%,1.7%,31.4%,57.6%,8.3%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.032,0,
15BIM09-DA345G,Surface Sample,Sand,N=8,322.10,3.10,1.791,0.039,-0.170,0.021,1.212,0.062,1.634,0.014,0.841,0.031,0.170,0.021,1.212,0.062,Medium Sand,Moderately Sorted,Fine Skewed,Leptokurtic,156.82,2.49,330.02,3.27,611.19,4.19,95.5%,0.3%,4.5%,0.3%,0.3%,19.7%,49.0%,24.4%,2.0%,0.6%,0.6%,0.7%,0.7%,0.6%,1.2%,0.000,0,
15BIM09-DA346GfrDA345,Surface Sample,Sand,N=8,309.32,1.08,2.095,0.074,-0.300,0.016,1.804,0.108,1.693,0.005,1.066,0.051,0.300,0.016,1.804,0.108,Medium Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,145.41,1.94,318.57,0.83,586.13,4.66,94.2%,0.2%,5.8%,0.2%,0.2%,17.5%,49.1%,25.2%,2.2%,0.8%,0.8%,0.9%,1.0%,0.8%,1.5%,0.000,0,
15BIM09-DA347G,Surface Sample,Mud,N=8,5.53,0.11,4.312,0.105,-0.009,0.008,0.815,0.007,7.498,0.030,2.108,0.035,0.009,0.008,0.815,0.007,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.86,0.00,5.84,0.15,37.76,1.22,4.8%,0.5%,95.2%,0.5%,0.0%,0.0%,0.2%,1.3%,3.2%,8.3%,13.5%,16.3%,16.5%,13.4%,27.3%,0.000,0,
15BIM09-DA348G,Surface Sample,Sandy Mud,N=8,14.42,0.71,7.942,0.237,0.014,0.054,0.724,0.005,6.118,0.071,2.989,0.043,-0.014,0.054,0.724,0.005,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.03,0.01,14.79,1.81,185.15,7.55,32.26%,1.3%,67.7%,1.3%,0.0%,2.8%,4.2%,11.1%,14.1%,8.0%,8.9%,10.3%,10.8%,9.7%,20.1%,0.000,0,
