study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,delta_c13
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,88,90,NA,0.78,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,0,2,NA,0.38,0.37,0.41,0.05,disintegrationsPerMinutePerGram,13.83,0.96,14.49,0.95,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,2,4,NA,0.39,0.49,NA,NA,NA,16.85,1.13,17.51,1.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,4,6,NA,0.45,0.45,0.81,0.09,disintegrationsPerMinutePerGram,12.31,0.85,12.97,0.84,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,6,8,NA,0.61,0.53,NA,NA,NA,9.75,0.69,10.41,0.68,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,8,10,NA,0.38,0.59,1.43,0.13,disintegrationsPerMinutePerGram,8.72,0.62,9.38,0.61,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,10,12,NA,0.42,0.58,NA,NA,NA,7.29,0.52,7.96,0.51,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,12,14,NA,0.39,0.5,NA,NA,NA,5.51,0.49,6.17,0.48,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,14,16,NA,0.39,0.45,NA,NA,NA,5.93,0.46,6.59,0.44,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,16,18,NA,0.5,0.38,3.43,0.12,disintegrationsPerMinutePerGram,4.62,0.38,5.28,0.36,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,18,20,NA,0.45,0.41,1.03,0.11,disintegrationsPerMinutePerGram,4.05,0.32,4.71,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,20,22,NA,0.52,0.42,0.8,0.09,disintegrationsPerMinutePerGram,3.11,0.27,3.77,0.24,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,22,24,NA,0.46,0.45,NA,NA,NA,2.67,0.27,3.33,0.25,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,24,26,NA,0.69,0.54,NA,NA,NA,1.88,0.2,2.54,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,26,28,NA,0.52,0.48,NA,NA,NA,1.92,0.23,2.58,0.2,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,28,30,NA,0.47,0.49,NA,NA,NA,1.12,0.18,1.78,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,30,32,NA,0.47,0.53,NA,NA,NA,1.08,0.16,1.75,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,32,34,NA,0.46,0.53,NA,NA,NA,0.57,0.14,1.23,0.09,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,34,36,NA,0.45,0.53,NA,NA,NA,0.31,0.16,0.97,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,36,38,NA,0.46,0.5,NA,NA,NA,0.08,0.13,0.74,0.06,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,38,40,NA,0.51,0.43,NA,NA,NA,0,0.12,0.58,0.05,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,40,42,NA,0.47,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,42,44,NA,0.58,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,44,46,NA,0.45,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,46,48,NA,0.56,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,48,50,NA,0.47,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,40,42,NA,0.61,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,42,44,NA,0.76,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,44,46,NA,0.74,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,46,48,NA,0.64,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,48,50,NA,0.59,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,50,52,NA,0.58,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,52,54,NA,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,54,56,NA,0.47,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,56,58,NA,0.42,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,58,60,NA,0.43,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,60,62,NA,0.39,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,62,64,NA,0.38,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,64,66,NA,0.37,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,66,68,NA,0.3,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,68,70,NA,0.33,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,70,72,NA,0.26,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,72,74,NA,0.24,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,74,76,NA,0.25,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,76,78,NA,0.23,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,78,80,NA,0.26,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,80,82,NA,0.31,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,82,84,NA,0.24,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,84,86,NA,0.23,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,86,88,NA,0.31,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_2,single set of methods,88,90,NA,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,0,2,NA,0.24,0.69,0.5,0.14,disintegrationsPerMinutePerGram,14.43,1,15.43,0.99,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,2,4,NA,0.26,0.7,NA,NA,NA,13.49,0.93,14.49,0.93,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,4,6,NA,0.27,0.68,0.86,0.1,disintegrationsPerMinutePerGram,13.78,0.95,14.78,0.95,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,6,8,NA,0.26,0.66,NA,NA,NA,11.93,0.84,12.93,0.83,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,8,10,NA,0.25,0.7,1.95,0.1,disintegrationsPerMinutePerGram,9.63,0.69,10.63,0.69,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,10,12,NA,0.23,0.74,NA,NA,NA,7.82,0.58,8.82,0.57,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,12,14,NA,0.23,NA,NA,NA,NA,6.5,0.5,7.5,0.49,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,14,16,NA,0.25,0.67,NA,NA,NA,5.52,0.44,6.52,0.42,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,16,18,NA,0.26,0.62,3.18,0.15,disintegrationsPerMinutePerGram,4.62,0.39,5.62,0.38,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,18,20,NA,0.27,0.6,1.96,0.12,disintegrationsPerMinutePerGram,3.89,0.34,4.89,0.32,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,20,22,NA,0.28,0.61,1.6,0.12,disintegrationsPerMinutePerGram,3.6,0.47,4.6,0.46,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,22,24,NA,0.3,0.65,NA,NA,NA,3.36,0.7,4.36,0.7,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,24,26,NA,0.26,0.61,NA,NA,NA,3.41,0.35,4.41,0.34,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,26,28,NA,0.27,0.72,NA,NA,NA,2.72,0.69,3.72,0.68,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,28,30,NA,0.21,0.63,NA,NA,NA,1.85,0.23,2.85,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,30,32,NA,0.25,0.71,NA,NA,NA,1.09,0.18,2.09,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,32,34,NA,0.28,0.63,NA,NA,NA,0.65,0.16,1.65,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,34,36,NA,0.3,0.63,NA,NA,NA,0.7,0.23,1.7,0.2,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,36,38,NA,0.34,0.63,NA,NA,NA,0.08,0.16,1.08,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,38,40,NA,0.36,0.59,NA,NA,NA,0,0.15,0.89,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,40,42,NA,0.42,0.56,NA,NA,NA,0,1.22,0.26,1.22,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,42,44,NA,0.46,0.51,NA,NA,NA,0,1.42,0.81,1.42,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,44,46,NA,0.45,0.49,NA,NA,NA,0,2.01,0.31,2.01,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,46,48,NA,0.43,0.45,NA,NA,NA,0,1.33,0.66,1.32,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,48,50,NA,0.48,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,40,42,NA,0.25,0.67,NA,NA,NA,0,1.22,0.26,1.22,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,42,44,NA,0.3,0.65,NA,NA,NA,0,1.42,0.81,1.42,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,44,46,NA,0.31,0.66,NA,NA,NA,0,2.01,0.31,2.01,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,46,48,NA,0.34,0.69,NA,NA,NA,0,1.33,0.66,1.32,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,48,50,NA,0.45,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,50,52,NA,0.53,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,52,54,NA,0.71,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,54,56,NA,0.73,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,56,58,NA,0.69,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,58,60,NA,0.79,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,60,62,NA,0.85,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,62,64,NA,0.63,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,64,66,NA,0.74,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,66,68,NA,0.88,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,68,70,NA,1.1,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,70,72,NA,1.21,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,72,74,NA,1.95,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,74,76,NA,2.4,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,76,78,NA,2.6,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,78,80,NA,2.9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,80,82,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,82,84,NA,3.35,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,84,86,NA,3.57,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,86,88,NA,3.23,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_3,single set of methods,88,90,NA,2.67,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
