Authors,title,Year,Source Title,Included
"Qiu, GL; Short, FT; Fan, HQ; Liu, GH",Temporal Variation of Intertidal Seagrass in Southern China (2008-2014),2017,OCEAN SCIENCE JOURNAL,NA
"E Rattanachot, M Stankovic, S Aongsara…",Ten years of conservation efforts enhance seagrass cover and carbon storage in Thailand,2018,Botanica Marina,NA
"Adame, MF; Wright, SF; Grinham, A; Lobb, K; Reymond, CE; Lovelock, CE",Terrestrial-marine connectivity: Patterns of terrestrial soil carbon deposition in coastal sediments determined by analysis of glomalin related soil protein,2012,LIMNOLOGY AND OCEANOGRAPHY,NA
"Doropoulos, C; Vons, F; Elzinga, J; ter Hofstede, R; Salee, K; van Koningsveld, M; Babcock, RC",Testing Industrial-Scale Coral Restoration Techniques: Harvesting and Culturing Wild Coral-Spawn Slicks,2019,FRONTIERS IN MARINE SCIENCE,NA
"Benstead, JP; March, JG; Fry, B; Ewel, KC; Pringle, CM",Testing isosource: Stable isotope analysis of a tropical fishery with diverse organic matter sources,2006,ECOLOGY,NA
"Mellors, J; Marsh, H; Carruthers, TJB; Waycott, M",Testing the sediment-trapping paradigm of seagrass: Do seagrasses influence nutrient status and sediment structure in tropical intertidal environments?,2002,BULLETIN OF MARINE SCIENCE,NA
"VANTUSSENBROEK, BI",THALASSIA-TESTUDINUM LEAF DYNAMICS IN A MEXICAN CARIBBEAN CORAL-REEF LAGOON,1995,MARINE BIOLOGY,NA
"Maragos, JE; Cook, CW",The 1991-1992 rapid ecological assessment of Palau's coral reefs,1995,CORAL REEFS,NA
"Cochard, R; Ranamukhaarachchi, SL; Shivakoti, GP; Shipin, OV; Edwards, PJ; Seeland, KT","The 2004 tsunami in Aceh and Southern Thailand: A review on coastal ecosystems, wave hazards and vulnerability",2008,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,NA
"McGregor, S; Strydom, NA","The abundance, diversify and distribution of small fishes in mangrove and non-mangrove estuaries in warm temperate South Africa",2018,SCIENTIA MARINA,NA
"S Cerretelli, L Poggio, G Yakob, S Boke, M Habte…",The advantages and limitations of global datasets to assess carbon stocks as proxy for land degradation in an Ethiopian case study,2021,Geoderma,NA
"Brown, CJ; Broadley, A; Adame, MF; Branch, TA; Turschwell, MP; Connolly, RM",The assessment of fishery status depends on fish habitats,2019,FISH AND FISHERIES,NA
"E Osipova, L Wilson, R Blaney, Y Shi, M Fancourt…",The benefits of natural World Heritage: Identifying and assessing ecosystem services and benefits provided by the world's most iconic natural places,2014,NA,NA
"Purwanto; Andradi-Brown, DA; Matualage, D; Rumengan, I; Awaludinnoer; Pada, D; Hidayat, NI; Amkieltiela; Fox, HE; Fox, M; Mangubhai, S; Hamid, L; Lazuardi, ME; Mambrasar, R; Maulana, N; Mulyadi; Tuharea, S; Pakiding, F; Ahmadia, GN","The Bird's Head Seascape Marine Protected Area network-Preventing biodiversity and ecosystem service loss amidst rapid change in Papua, Indonesia",2021,CONSERVATION SCIENCE AND PRACTICE,NA
"Bertram, C; Quaas, M; Reusch, TBH; Vafeidis, AT; Wolff, C; Rickels, W",The blue carbon wealth of nations,2021,NATURE CLIMATE CHANGE,NA
DM Alongi,The Blue Economy: Mitigation and Adaptation,2018,Blue Carbon,NA
"G Dipple, P Kelemen, CM Woodall, P Renforth…",The Building Blocks of CDR Systems,NA,cdrprimer.org,NA
"R Lal, P Smith, HF Jungkunst, WJ Mitsch…",The carbon sequestration potential of terrestrial ecosystems,2018,Journal of Soil and …,NA
"Alcolado, PM; Alleng, G; Bonair, K; Bone, D; Buchan, K; Bush, PG; De Meyer, K; Garcia, JR; Garzon-Ferreira, J; Gayle, PMH; Gerace, DT; Geraldes, FX; Jordan-Dahlgren, E; Kjferve, B; Klein, E; Koltes, K; Laydoo, RS; Linton, DM; Ogden, JC; Oxenford, HA; Parker, C; Penchaszadeh, P; Pors, LPPJ; Ramirez-Ramirez, J; Ruiz-Renteria, F; Ryan, JD; Smith, SR; Tschirky, J; Varela, R; Walker, S; Weil, E; Wiebe, WJ; Woodley, JD; Zieman, JC",The Caribbean coastal marine productivity program (CARICOMP),2001,BULLETIN OF MARINE SCIENCE,NA
"Cortes, J; Oxenford, HA; van Tussenbroek, BI; Jordan-Dahlgren, E; Croquer, A; Bastidas, C; Ogden, JC","The CARICOMP Network of Caribbean Marine Laboratories (1985-2007): History, Key Findings, and Lessons Learned",2019,FRONTIERS IN MARINE SCIENCE,NA
"Yap, HT",The case for restoration of tropical coastal ecosystems,2000,OCEAN & COASTAL MANAGEMENT,NA
"Kendrick, GA; Waycott, M; Carruthers, TJB; Cambridge, ML; Hovey, R; Krauss, SL; Lavery, PS; Les, DH; Lowe, RJ; Vidal, OMI; Ooi, JLS; Orth, RJ; Rivers, DO; Ruiz-Montoya, L; Sinclair, EA; Statton, J; van Dijk, JK; Verduin, JJ",The Central Role of Dispersal in the Maintenance and Persistence of Seagrass Populations,2012,BIOSCIENCE,NA
"Duarte, CM; Dennison, WC; Orth, RJW; Carruthers, TJB",The charisma of coastal ecosystems: Addressing the imbalance,2008,ESTUARIES AND COASTS,NA
C Epple,The climate relevance of ecosystems beyond forests and peatlands: A review of current knowledge and recommendations for action,2012,NA,NA
"Marti, E; Martin, C; Galli, M; Echevarria, F; Duarte, CM; Cozar, A",The Colors of the Ocean Plastics,2020,ENVIRONMENTAL SCIENCE & TECHNOLOGY,NA
"Ma, DQ; Rhodes, JR; Maron, M",The consequences of coastal offsets for fisheries,NA,JOURNAL OF APPLIED ECOLOGY,NA
"Guimarais, M; Zuniga-Rios, A; Cruz-Ramirez, CJ; Chavez, V; Oderiz, I; van Tussenbroek, BI; Silva, R",The Conservational State of Coastal Ecosystems on the Mexican Caribbean Coast: Environmental Guidelines for Their Management,2021,SUSTAINABILITY,NA
"N REYNARD, E ELLISON, AMY WILSON…",The contribution of coastal blue carbon ecosystems to climate change mitigation and adaptation,2020,NA,NA
"Bayraktarov, E; Saunders, MI; Abdullah, S; Mills, M; Beher, J; Possingham, HP; Mumby, PJ; Lovelock, CE",The cost and feasibility of marine coastal restoration,2016,ECOLOGICAL APPLICATIONS,NA
"Mumby, PJ; Green, EP; Edwards, AJ; Clark, CD",The cost-effectiveness of remote sensing for tropical coastal resources assessment and management,1999,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA
"Mishra, AK; Apte, D","The current status of Halophila beccarii: An ecologically significant, yet vulnerable seagrass of India",2021,OCEAN & COASTAL MANAGEMENT,NA
"Wahyudi, AJ; Triana, K; Afdal, A; Prayitno, HB; Taufiqurrahman, E; Meirinawati, H; Puspitasari, R; Lestari, L; Lastrini, S",The decomposition rate of the organic carbon content of suspended particulate matter in the tropical seagrass meadows,2021,ACTA OCEANOLOGICA SINICA,NA
"ROMERO, J; PERGENT, G; PERGENTMARTINI, C; MATEO, MA; REGNIER, C","THE DETRITIC COMPARTMENT IN A POSIDONIA-OCEANICA MEADOW - LITTER FEATURES, DECOMPOSITION RATES, AND MINERAL STOCKS",1992,MARINE ECOLOGY-PUBBLICAZIONI DELLA STAZIONE ZOOLOGICA DI NAPOLI I,NA
"Escapa, M; Isacch, JP; Daleo, P; Alberti, J; Iribarne, O; Borges, M; Dos Santos, EP; Gagliardini, DA; Lasta, M","The distribution and ecological effects of the introduced Pacific oyster Crassostrea gigas (Thunberg, 1793) in northern Patagonia",2004,JOURNAL OF SHELLFISH RESEARCH,NA
"B Fan, Y Li, M Pavao-Zuckerman",The dynamics of land-sea-scape carbon flow can reveal anthropogenic destruction and restoration of coastal carbon sequestration,2021,Landscape Ecology,NA
"Gladstone, W",The ecological and social basis for management of a Red Sea marine-protected area,2000,OCEAN & COASTAL MANAGEMENT,NA
"Ronnback, P",The ecological basis for economic value of seafood production supported by mangrove ecosystems,1999,ECOLOGICAL ECONOMICS,NA
B Dewsbury,The Ecology and Economics of Seagrass Community Structure,2014,NA,NA
"Zahran, MA; Al-Ansari, FM","The ecology of Al-Samaliah Island, UAE",1999,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Thiel, M; Haye, PA",The ecology of rafting in the marine environment. III. Biogeographical and evolutionary consequences,2006,"OCEANOGRAPHY AND MARINE BIOLOGY - AN ANNUAL REVIEW, VOL 44",NA
"HA Kacem, Y Bouroubi, Y Khomalli, S Elyaagoubi…",The Economic Benefit of Coastal Blue Carbon Stocks in a Moroccan Lagoon Ecosystem: a Case Study at Moulay Bousselham Lagoon,2022,Wetlands,NA
"Rutkowski, CM; Burnett, WC; Iverson, RL; Chanton, JP",The effect of groundwater seepage on nutrient delivery and seagrass distribution in the northeastern Gulf of Mexico,1999,ESTUARIES,NA
"H Ebadzadeh, MG Shojaei, J Seyfabadi",The Effect of Habitat Structural Complexity on Gastropods in Anarid Mangrove Wetland,2021,NA,NA
"Macario, BS; Olimpio, MS; Sales, NS; Pessanha, ALM",The effect of habitat structure and the interactions between four juvenile fishes and zooplankton-prey in a tropical estuary,2021,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Garrard, SL; Beaumont, NJ",The effect of ocean acidification on carbon storage and sequestration in seagrass beds; a global and UK context,2014,MARINE POLLUTION BULLETIN,NA
"Lillebo, AI; Flindt, MR; Pardal, MA; Marques, JC","The effect of Zostera noltii, Spartina maritima and Scirpus maritimus on sediment pore-water profiles in a temperate intertidal estuary",2006,HYDROBIOLOGIA,NA
"Harms-Tuohy, CA; Appeldoorn, RS; Craig, MT","The effectiveness of small-scale lionfish removals as a management strategy: effort, impacts and the response of native prey and piscivores",2018,MANAGEMENT OF BIOLOGICAL INVASIONS,NA
"Narayan, S; Beck, MW; Reguero, BG; Losada, IJ; van Wesenbeeck, B; Pontee, N; Sanchirico, JN; Ingram, JC; Lange, GM; Burks-Copes, KA","The Effectiveness, Costs and Coastal Protection Benefits of Natural and Nature-Based Defences",2016,PLOS ONE,NA
"Burfeind, DD; Stunz, GW",The effects of boat propeller scarring intensity on nekton abundance in subtropical seagrass meadows,2006,MARINE BIOLOGY,NA
JE Campbell,The effects of carbon dioxide fertilization on the ecology of tropical seagrass communities,2012,NA,NA
"Nakamura, Y; Horinouchi, M; Sano, M; Shibuno, T","The effects of distance from coral reefs on seagrass nursery use by 5 emperor fishes at the southern Ryukyu Islands, Japan",2009,FISHERIES SCIENCE,NA
"BOUCHON, C; BOUCHONNAVARO, Y; IMBERT, D; LOUIS, M",THE EFFECTS OF HURRICANE HUGO ON THE COASTAL ENVIRONMENT OF GUADELOUPE ISLAND (FWI),1991,ANNALES DE L INSTITUT OCEANOGRAPHIQUE,NA
K Norman,"The Effects of Salinity, Vegetation, and Elevation on Blue Carbon Density in Mid-Atlantic Tidal Wetlands",2018,NA,NA
G de Jong Cleyndert…,The effects of seaward distance on above and below ground carbon stocks in estuarine mangrove ecosystems,2020,Carbon balance …,NA
"Ahmad-Kamil, EI; Ramli, R; Jaaman, SA; Bali, J; Al-Obaidi, JR","The Effects of Water Parameters on Monthly Seagrass Percentage Cover in Lawas, East Malaysia",2013,SCIENTIFIC WORLD JOURNAL,NA
"Butler, MJ; Weisz, EB; Butler, J","The effects of water quality on back-reef sponge survival and distribution in the Florida Keys, Florida (USA)",2018,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,NA
"Reusch, TBH; Hughes, AR",The emerging role of genetic diversity for ecosystem functioning: Estuarine macrophytes as models,2006,ESTUARIES AND COASTS,NA
"FH Sklar, JF Meeder, TG Troxler, T Dreschel…",The Everglades: At the forefront of transition,2019,Coasts and estuaries,NA
"Elmqvist, T; Cox, PA",The evolution of vivipary in flowering plants,1996,OIKOS,NA
A Ward,"The extent and value of carbon stored in mountain grasslands and shrublands globally, and the prospects for using climate finance to address natural resource …",2016,NA,NA
A McGowan,"The extent, density, and biomass carbon of eelgrass (Zostera marina) meadows in Clayoquot Sound, British Columbia",2018,NA,NA
"Duarte, CM; Cebrian, J",The fate of marine autotrophic production,1996,LIMNOLOGY AND OCEANOGRAPHY,NA
"Vizzini, S; Mazzola, A",The fate of organic matter sources in coastal environments: a comparison of three Mediterranean lagoons,2008,HYDROBIOLOGIA,NA
"Gutierrez, JCS; Ponce-Palafox, JT; Pineda-Jaimes, NB; Arenas-Fuentes, V; Arredondo-Figueroa, JL; Cifuentes-Lemus, JL",The feeding ecology of penaeid shrimp in tropical lagoon-estuarine systems,2016,GAYANA,NA
"UE Hernawan, S Rahmawati, R Ambo-Rappe…",The first nation-wide assessment identifies valuable blue‑carbon seagrass habitat in Indonesia is in moderate condition,2021,Science of The Total …,NA
"S Das, D Ganguly, S Chakraborty, A Mukherjee…","The first report of Glomalin from the Sundarban Mangrove Biosphere Reserve, India, a long-term sediment Carbon storage",2020,Regional Studies in …,NA
"SEDBERRY, GR; CARTER, J","THE FISH COMMUNITY OF A SHALLOW TROPICAL LAGOON IN BELIZE, CENTRAL-AMERICA",1993,ESTUARIES,NA
"Garside, CJ; Glasby, TM; Coleman, MA; Kelaher, BP; Bishop, MJ",The frequency of connection of coastal water bodies to the ocean predicts Carcinus maenas invasion,2014,LIMNOLOGY AND OCEANOGRAPHY,NA
"Floros, C; Schleyer, MH",The functional importance of Acropora austera as nursery areas for juvenile reef fish on South African coral reefs,2017,CORAL REEFS,NA
"Harborne, AR; Mumby, PJ; Micheli, F; Perry, CT; Dahlgren, CP; Holmes, KE; Brumbaugh, DR","The functional value of Caribbean coral reef, seagrass and mangrove habitats to ecosystem processes",2006,"ADVANCES IN MARINE BIOLOGY, VOL 50",NA
"Macreadie, PI; Anton, A; Raven, JA; Beaumont, N; Connolly, RM; Friess, DA; Kelleway, JJ; Kennedy, H; Kuwae, T; Lavery, PS; Lovelock, CE; Smale, DA; Apostolaki, ET; Atwood, TB; Baldock, J; Bianchi, TS; Chmura, GL; Eyre, BD; Fourqurean, JW; Hall-Spencer, JM; Huxham, M; Hendriks, IE; Krause-Jensen, D; Laffoley, D; Luisetti, T; Marba, N; Masque, P; McGlathery, KJ; Megonigal, JP; Murdiyarso, D; Russell, BD; Santos, R; Serrano, O; Silliman, BR; Watanabe, K; Duarte, CM",The future of Blue Carbon science,2019,NATURE COMMUNICATIONS,NA
"T Kuwae, M Hori",The future of blue carbon: addressing global environmental issues,2019,Blue Carbon in Shallow Coastal Ecosystems,NA
"Kupper, FC; Kamenos, NA",The future of marine biodiversity and marine ecosystem functioning in UK coastal and territorial waters (including UK Overseas Territories) - with an emphasis on marine macrophyte communities,2018,BOTANICA MARINA,NA
"C Zhao, M Sadula, X Huang, Y Yang, Y Gong, S Yang",The Game Model of Blue Carbon Collaboration along MSR—From the Regret Theory Perspective,2022,Mathematics,NA
"Hanley, ME; Bouma, TJ; Mossman, HL",The gathering storm: optimizing management of coastal ecosystems in the face of a climate-driven threat,2020,ANNALS OF BOTANY,NA
"Boon, PI; Cook, P; Woodland, R",The Gippsland Lakes: management challenges posed by long-term environmental change,2016,MARINE AND FRESHWATER RESEARCH,NA
"Murray, NJ; Phinn, SR; DeWitt, M; Ferrari, R; Johnston, R; Lyons, MB; Clinton, N; Thau, D; Fuller, RA",The global distribution and trajectory of tidal flats,2019,NATURE,NA
"Quinones-Rivera, ZJ; Fleeger, JW","The grazing effects of grass shrimp, Palaemonetes pugio, on epiphytic microalgae associated with Spartina alterniflora",2005,ESTUARIES,NA
"MPJ Oreska, KJ McGlathery, LR Aoki, AC Berger…",The greenhouse gas offset potential from seagrass restoration,2020,Scientific reports,NA
"PRICE, ARG; SHEPPARD, CRC; ROBERTS, CM",THE GULF - ITS BIOLOGICAL SETTING,1993,MARINE POLLUTION BULLETIN,NA
"Nagelkerken, I; Blaber, SJM; Bouillon, S; Green, P; Haywood, M; Kirton, LG; Meynecke, JO; Pawlik, J; Penrose, HM; Sasekumar, A; Somerfield, PJ",The habitat function of mangroves for terrestrial and marine fauna: A review,2008,AQUATIC BOTANY,NA
"Paterson, AW; Whitfield, AK","The ichthyofauna associated with an intertidal creek and adjacent eelgrass beds in the Kariega Estuary, South Africa",2000,ENVIRONMENTAL BIOLOGY OF FISHES,NA
"Beck, MW; Heck, KL; Able, KW; Childers, DL; Eggleston, DB; Gillanders, BM; Halpern, B; Hays, CG; Hoshino, K; Minello, TJ; Orth, RJ; Sheridan, PF; Weinstein, MR","The identification, conservation, and management of estuarine and marine nurseries for fish and invertebrates",2001,BIOSCIENCE,NA
"de Boer, WF; van Schie, AMP; Jocene, DF; Mabote, ABP; Guissamulo, A",The impact of artisanal fishery on a tropical intertidal benthic fish community,2001,ENVIRONMENTAL BIOLOGY OF FISHES,NA
"Cebrian, J; Foster, CD; Plutchak, R; Sheehan, KL; Miller, MEC; Anton, A; Major, K; Heck, KL; Powers, SP",The impact of Hurricane Ivan on the primary productivity and metabolism of marsh tidal creeks in the North Central Gulf of Mexico,2008,AQUATIC ECOLOGY,NA
"MacDonald, JA; Glover, T; Weis, JS",The impact of mangrove prop-root epibionts on juvenile reef fishes: A field experiment using artificial roots and epifauna,2008,ESTUARIES AND COASTS,NA
"S Sharma, RA MacKenzie, T Tieng, K Soben…","The impacts of degradation, deforestation and restoration on mangrove ecosystem carbon stocks across Cambodia",2020,Science of the Total …,NA
"SC Doney, DS Busch, SR Cooley…",The impacts of ocean acidification on marine ecosystems and reliant human communities,2020,Annual Review of …,NA
"Granek, EF; Frasier, K","The impacts of red mangrove (Rhizophora mangle) deforestation on zooplankton communities in Bocas del Toro, Panama",2007,BULLETIN OF MARINE SCIENCE,NA
"J Bournazel, MP Kumara, LP Jayatissa…","The impacts of shrimp farming on land-use and carbon storage around Puttalam lagoon, Sri Lanka",2015,Ocean & Coastal …,NA
"RUCKELSHAUS, MH; WISSMAR, RC; SIMENSTAD, CA","THE IMPORTANCE OF AUTOTROPH DISTRIBUTION TO MUSSEL GROWTH IN A WELL-MIXED, TEMPERATE ESTUARY",1993,ESTUARIES,NA
"LB van Ardenne, S Jolicouer, D Bérubé, D Burdick…",The importance of geomorphic context for estimating the carbon stock of salt marshes,2018,Geoderma,NA
"Lugendo, BR; Nagelkerken, I; van der Velde, G; Mgaya, YD","The importance of mangroves, mud and sand flats, and seagrass beds as feeding areas for juvenile fishes in Chwaka Bay, Zanzibar: gut content and stable isotope analyses",2006,JOURNAL OF FISH BIOLOGY,NA
"Atwood, TB; Hammill, E",The Importance of Marine Predators in the Provisioning of Ecosystem Services by Coastal Plant Communities,2018,FRONTIERS IN PLANT SCIENCE,NA
"Holmer, M; Andersen, FO; Nielsen, SL; Boschker, HTS",The importance of mineralization based on sulfate reduction for nutrient regeneration in tropical seagrass sediments,2001,AQUATIC BOTANY,NA
"Jackson, EL; Rowden, AA; Attrill, MJ; Bossey, SJ; Jones, MB",The importance of seagrass beds as a habitat for fishery species,2001,"OCEANOGRAPHY AND MARINE BIOLOGY, VOL 39",NA
"Seemann, J; Yingst, A; Stuart-Smith, RD; Edgar, GJ; Altieri, AH",The importance of sponges and mangroves in supporting fish communities on degraded coral reefs in Caribbean Panama,2018,PEERJ,NA
"Carbone, F; Accordi, G",The Indian Ocean coast of Somalia,2000,MARINE POLLUTION BULLETIN,NA
"Raven, JA; Scrimgeour, CM",The influence of anoxia on plants of saline habitats with special reference to the sulphur cycle,1997,ANNALS OF BOTANY,NA
"Raposa, KB; Oviatt, CA","The influence of contiguous shoreline type, distance from shore, and vegetation biomass on nekton community structure in eelgrass beds",2000,ESTUARIES,NA
"M Dahl, ME Asplund, M Björk, D Deyanova…",The influence of hydrodynamic exposure on carbon storage and nutrient retention in eelgrass (Zostera marina L.) meadows on the Swedish Skagerrak coast,2020,Scientific reports,NA
"LUCZKOVICH, JJ; NORTON, SF; GILMORE, RG","THE INFLUENCE OF ORAL ANATOMY ON PREY SELECTION DURING THE ONTOGENY OF 2 PERCOID FISHES, LAGODON-RHOMBOIDES AND CENTROPOMUS-UNDECIMALIS",1995,ENVIRONMENTAL BIOLOGY OF FISHES,NA
"Loneragan, NR; Kenyon, RA; Staples, DJ; Poiner, IR; Conacher, CA","The influence of seagrass type on the distribution and abundance of postlarval and juvenile tiger prawns (Penaeus esculentus and P-semisulcatus) in the western Gulf of Carpentaria, Australia",1998,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,NA
"Bolzan, MS; Andrades, R; Spach, HL; Hostim-Silva, M",The influence of selected environmental parameters and habitat mosaics on fish assemblages in a South American estuary,2019,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,NA
"Parmentier, E; Berten, L; Rigo, P; Aubrun, F; Nedelec, SL; Simpson, SD; Lecchini, D",The influence of various reef sounds on coral-fish larvae behaviour,2015,JOURNAL OF FISH BIOLOGY,NA
"Sellers, AJ; Saltonstall, K; Davidson, TM","The introduced alga Kappaphycus alvarezii (Doty ex PC Silva, 1996) in abandoned cultivation sites in Bocas del Toro, Panama",2015,BIOINVASIONS RECORDS,NA
"P Regnier, L Resplandy, RG Najjar, P Ciais",The land-to-ocean loops of the global carbon cycle,2022,Nature,NA
"Dominici, S; Fornasiero, M; Giusberti, L",The largest known cowrie and the iterative evolution of giant cypraeid gastropods,2020,SCIENTIFIC REPORTS,NA
"Al-Jahdali, MO; Hassanine, RMES; Touliabah, HES","The life cycle of Sclerocollum saudii Al-Jahdali, 2010 (Acanthocephala: Palaeacanthocephala: Rhadinorhynchidae) in amphipod and fish hosts from the Red Sea",2015,JOURNAL OF HELMINTHOLOGY,NA
"BACON, PR; ALLENG, GP",THE MANAGEMENT OF INSULAR CARIBBEAN MANGROVES IN RELATION TO SITE LOCATION AND COMMUNITY TYPE,1992,HYDROBIOLOGIA,NA
"Kirkman, H; Kirkman, JA",The management of seagrasses in Southeast Asia,2002,BULLETIN OF MARINE SCIENCE,NA
"Gajdzik, L; Vanreusel, A; Koedam, N; Reubens, J; Muthumbi, AWN","The mangrove forests as nursery habitats for the ichthyofauna of Mida Creek (Kenya, East Africa)",2014,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,NA
"Kimirei, IA; Nagelkerken, I; Mgaya, YD; Huijbers, CM",The Mangrove Nursery Paradigm Revisited: Otolith Stable Isotopes Support Nursery-to-Reef Movements by Indo-Pacific Fishes,2013,PLOS ONE,NA
"TG Jones, HR Ratsimba, A Carro…","The mangroves of Ambanja and Ambaro bays, Northwest Madagascar: Historical dynamics, current status and deforestation mitigation Strategy",2016,Estuaries: a lifeline of …,NA
"Beavington-Penney, SJ; Wright, VP; Racey, A","The middle Eocene Seeb Formation of Oman: An investigation of acyclicity, stratigraphic completeness, and accumulation rates in shallow marine carbonate settings",2006,JOURNAL OF SEDIMENTARY RESEARCH,NA
"D Hermon, PA Ganefri, O Oktorie",The model of mangrove land cover change for the estimation of blue carbon stock change in Belitung Island-Indonesia,2018,International Journal of …,NA
"Peralta, G; Godoy, O; Egea, LG; de los Santos, CB; Jimenez-Ramos, R; Lara, M; Brun, FG; Hernandez, I; Olive, I; Vergara, JJ; Gonzalez-Ortiz, V; Moreno-Marin, F; Morris, EP; Villazan, B; Perez-Llorens, JL",The morphometric acclimation to depth explains the long-term resilience of the seagrass Cymodocea nodosa in a shallow tidal lagoon,2021,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA
"Soares, MO; Teixeira, CEP; Bezerra, LEA; Rabelo, EF; Castro, IB; Cavalcante, RM",The most extensive oil spill registered in tropical oceans (Brazil): the balance sheet of a disaster,2022,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,NA
"Moser, S; Avery, E","The multi-scalar politics of urban greening in Forest City, Malaysia",2021,URBAN FORESTRY & URBAN GREENING,NA
"Reuter, M; Piller, WE; Harzhauser, M; Mandic, O; Berning, B; Rogl, F; Kroh, A; Aubry, MP; Wielandt-Schuster, U; Hamedani, A",The Oligo-/Miocene Qom Formation (Iran): evidence for an early Burdigalian restriction of the Tethyan Seaway and closure of its Iranian gateways,2009,INTERNATIONAL JOURNAL OF EARTH SCIENCES,NA
L Capece,The origin of sedimentary organic carbon in temperate seagrass meadows in California estuaries,2019,NA,NA
"Upanoi, T",The penaeid prawns of the Straits of Johor: Preliminary results,2015,RAFFLES BULLETIN OF ZOOLOGY,NA
"Jones, BL; Unsworth, RKF",The perverse fisheries consequences of mosquito net malaria prophylaxis in East Africa,2020,AMBIO,NA
"Peterson, BJ; Heck, KL",The potential for suspension feeding bivalves to increase seagrass productivity,1999,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,NA
"D Murdiyarso, J Purbopuspito, JB Kauffman…",The potential of Indonesian mangrove forests for global climate change mitigation,2015,Nature Climate …,NA
"Igulu, MM; Nagelkerken, I; Fraaije, R; van Hintum, R; Ligtenberg, H; Mgaya, YD",The potential role of visual cues for microhabitat selection during the early life phase of a coral reef fish (Lutjanus fulviflamma),2011,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,NA
"Howard, J; McLeod, E; Thomas, S; Eastwood, E; Fox, M; Wenzel, L; Pidgeon, E",The potential to integrate blue carbon into MPA design and management,2017,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,NA
"Guannel, G; Arkema, K; Ruggiero, P; Verutes, G","The Power of Three: Coral Reefs, Seagrasses and Mangroves Protect Coastal Regions and Increase Their Resilience",2016,PLOS ONE,NA
"Maxwell, EE; Alexander, S; Bechly, G; Eck, K; Frey, E; Grimm, K; Kovar-Eder, J; Mayr, G; Micklich, N; Rasser, M; Roth-Nebelsick, A; Salvador, RB; Schoch, RR; Schweigert, G; Stinnesbeck, W; Wolf-Schwenninger, K; Ziegler, R","The Rauenberg fossil Lagerstatte (Baden-Wurttemberg, Germany): A window into early Oligocene marine and coastal ecosystems of Central Europe",2016,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,NA
"Gratwicke, B; Speight, MR","The relationship between fish species richness, abundance and habitat complexity in a range of shallow tropical marine habitats",2005,JOURNAL OF FISH BIOLOGY,NA
"Leslie, T; James, NC; Potts, WM; Rajkaran, A",The relationship between habitat complexity and nursery provision for an estuarine-dependent fish species in a permanently open South African Estuary,2017,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Dorenbosch, M; van Riel, MC; Nagelkerken, I; van der Velde, G",The relationship of reef fish densities to the proximity of mangrove and seagrass nurseries,2004,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"de Almeida, LR; Silva, R; Martinez, ML",The relationships between environmental conditions and parallel ecosystems on the coastal dunes of the Mexican Caribbean,2022,GEOMORPHOLOGY,NA
"Vaslet, A; Phillips, DL; France, C; Feller, IC; Baldwin, CC",The relative importance of mangroves and seagrass beds as feeding areas for resident and transient fishes among different mangrove habitats in Florida and Belize: Evidence from dietary and stable-isotope analyses,2012,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,NA
"Santos, IR; Burdige, DJ; Jennerjahn, TC; Bouillon, S; Cabral, A; Serrano, O; Wernberg, T; Filbee-Dexter, K; Guimond, JA; Tamborski, JJ",The renaissance of Odum's outwelling hypothesis in 'Blue Carbon' science,2021,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Leston, S; Lillebo, AI; Pardal, MA",The response of primary producer assemblages to mitigation measures to reduce eutrophication in a temperate estuary,2008,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"LEWIS, RR",THE RESTORATION AND CREATION OF SEAGRASS MEADOWS IN FLORIDA,1985,AMERICAN JOURNAL OF BOTANY,NA
"ALONGI, DM",THE ROLE OF BACTERIA IN NUTRIENT RECYCLING IN TROPICAL MANGROVE AND OTHER COASTAL BENTHIC ECOSYSTEMS,1994,HYDROBIOLOGIA,NA
P Hunter,The role of biology in global climate change: Interdisciplinary research in biogeochemistry can help to understand local and global fluxes of carbon and other …,2017,EMBO reports,NA
